id,user_id,order_time,item_total,shipping_cost,discounts_applied,payment_reject
1,9852,2016-01-01 0:03:11,60.69,10,,FALSE
2,2784,2016-01-01 0:09:32,123.91,15,,FALSE
3,1619,2016-01-01 0:17:26,119.75,15,,FALSE
4,9725,2016-01-01 0:44:04,151.92,15,,FALSE
5,8892,2016-01-01 0:52:23,153.27,15,,FALSE
6,7105,2016-01-01 1:03:20,156.86,25,,FALSE
7,4345,2016-01-01 1:10:23,136.09,15,,FALSE
8,7779,2016-01-01 1:21:23,134.93,15,,FALSE
9,3874,2016-01-01 1:28:55,157.27,15,,FALSE
10,5102,2016-01-01 1:34:09,108.3,10,,FALSE
11,3098,2016-01-01 2:01:26,59.97,10,,FALSE
12,6584,2016-01-01 2:19:47,124.92,15,,FALSE
13,5136,2016-01-01 2:36:13,111.06,10,,FALSE
14,1869,2016-01-01 2:50:53,113.44,20,,FALSE
15,3830,2016-01-01 2:58:19,129.63,15,,FALSE
16,8544,2016-01-01 2:59:25,99.26,10,,FALSE
17,636,2016-01-01 3:02:55,129.24,15,,FALSE
18,6430,2016-01-01 3:18:23,80.36,10,,FALSE
19,9879,2016-01-01 3:23:19,114.68,10,,FALSE
20,5118,2016-01-01 3:28:35,117.38,15,,FALSE
21,9831,2016-01-01 3:29:39,158.26,15,,FALSE
22,1554,2016-01-01 3:37:01,123.85,15,,FALSE
23,3315,2016-01-01 4:07:53,180.62,15,,FALSE
24,253,2016-01-01 4:18:59,97.7,20,,FALSE
25,145,2016-01-01 4:19:29,123.55,15,,FALSE
26,7953,2016-01-01 4:31:42,95.18,10,,FALSE
27,7438,2016-01-01 4:46:08,102.58,20,5,FALSE
28,927,2016-01-01 4:55:56,152.46,15,,FALSE
29,4390,2016-01-01 5:13:41,108.54,10,,FALSE
30,7029,2016-01-01 5:28:19,69.13,10,,FALSE
31,6975,2016-01-01 5:30:35,169.31,15,,FALSE
32,5356,2016-01-01 6:00:08,78.56,10,,FALSE
33,285,2016-01-01 6:00:48,66.92,10,,FALSE
34,1675,2016-01-01 6:06:19,108.11,10,,FALSE
35,6731,2016-01-01 6:16:03,107.29,10,,FALSE
36,2440,2016-01-01 6:16:44,171.31,15,,FALSE
37,9017,2016-01-01 6:35:24,117.88,15,,FALSE
38,5042,2016-01-01 6:40:54,110.51,10,,FALSE
39,6540,2016-01-01 6:53:20,127.36,15,,FALSE
40,8453,2016-01-01 7:13:14,128.05,15,,FALSE
41,7076,2016-01-01 8:01:48,126.78,15,,FALSE
42,3419,2016-01-01 8:26:00,135.88,15,,FALSE
43,7059,2016-01-01 8:38:03,160.61,15,,FALSE
44,8268,2016-01-01 8:56:19,192.31,15,,FALSE
45,4665,2016-01-01 9:18:08,150.81,25,,FALSE
46,4951,2016-01-01 9:42:22,146.92,15,5,FALSE
47,416,2016-01-01 10:17:55,142.63,15,,FALSE
48,9126,2016-01-01 10:19:05,123.58,15,,FALSE
49,9745,2016-01-01 10:32:25,137.65,15,,FALSE
50,8929,2016-01-01 10:54:20,88.66,10,,FALSE
51,4515,2016-01-01 10:55:24,134.15,15,,FALSE
52,9781,2016-01-01 11:08:43,156.7,15,,FALSE
53,3526,2016-01-01 11:23:11,165.7,15,,FALSE
54,8719,2016-01-01 11:28:46,151.21,15,,FALSE
55,1541,2016-01-01 11:31:04,191.29,15,,FALSE
