id,gender,age,country,days_on_site_in_2016
1,M,21,US,1
2,F,46,US,10
3,,26,US,4
4,,54,US,7
5,F,34,US,38
6,M,24,US,2
7,M,52,US,18
8,F,44,US,1
9,,33,CA,31
10,,43,US,18
11,,42,US,11
12,,26,US,1
13,,29,US,27
14,M,33,US,6
15,F,27,US,4
16,,53,US,8
17,M,34,US,13
18,M,52,US,3
19,F,23,US,6
20,,41,US,2
21,,29,US,2
22,,33,US,7
23,F,29,US,26
24,,23,US,14
25,,53,US,4
26,,54,CA,6
27,F,54,US,14
28,M,53,US,41
29,,36,US,2
30,,32,US,12
31,M,33,US,23
32,M,36,US,11
33,F,25,CA,38
34,M,38,US,5
35,M,23,US,20
36,M,54,US,5
37,M,32,US,11
38,F,54,US,11
39,,21,US,24
40,,35,US,5
41,F,25,US,13
42,F,38,US,6
43,,50,US,6
44,F,30,US,2
45,,29,US,6
46,M,30,US,1
47,F,37,US,9
48,M,21,US,3
49,M,21,US,1
50,F,37,CA,6
51,M,28,US,26
52,,51,CA,23
53,M,26,US,1
54,M,32,US,28
55,,35,US,14
56,M,34,US,29
57,,31,CA,1
58,M,48,US,9
59,M,46,US,15
60,,27,US,28
61,F,35,US,17
62,,52,US,5
63,M,35,US,5
64,,44,US,11
65,,52,US,3
66,F,46,CA,5
67,F,34,US,11
68,,22,US,2
69,M,27,US,25
70,,42,US,3
71,M,51,US,4
72,,32,US,8
73,M,35,CA,14
74,F,42,US,8
75,M,45,US,1
76,,42,CA,2
77,F,46,CA,11
78,,35,US,7
79,F,34,US,2
80,,22,US,8
81,F,29,US,5
82,M,44,US,1
83,F,52,US,6
84,,40,US,7
85,M,21,US,2
86,,36,US,6
87,M,35,CA,50
88,,28,US,4
89,F,44,US,2
90,,48,US,10
91,F,45,CA,8
92,M,38,US,6
93,F,37,US,4
94,F,39,US,5
95,F,29,US,2
96,F,46,US,19
97,,27,US,7
98,M,49,US,3
99,M,30,US,14
100,,51,US,4
101,F,34,US,3
102,,38,US,4
103,F,50,US,2
104,F,41,US,8
105,M,25,US,17
106,F,49,US,25
107,M,23,US,2
108,,41,US,2
109,F,51,US,1
110,F,29,US,15
111,,34,US,30
112,M,54,US,33
113,F,44,CA,4
114,M,25,US,6
115,,43,US,15
116,F,30,US,9
117,,43,US,8
118,F,34,US,5
119,F,30,US,4
120,M,23,CA,2
121,F,53,US,8
122,M,28,US,9
123,M,21,US,1
124,,40,US,33
125,M,46,US,4
126,F,49,US,6
127,M,37,US,3
128,,45,US,6
129,M,30,US,2
130,,22,US,1
131,F,34,US,27
132,,36,US,1
133,M,44,US,7
134,F,29,US,12
135,M,29,US,31
136,M,29,US,5
137,M,52,US,1
138,F,50,CA,4
139,F,53,US,6
140,M,36,CA,2
141,,36,US,1
142,M,50,US,1
143,F,21,US,21
144,,28,US,17
145,,51,US,5
146,M,43,US,11
147,F,46,US,19
148,F,51,US,5
149,M,46,US,4
150,F,25,US,5
151,,45,US,7
152,,44,US,23
153,F,42,US,1
154,F,41,US,1
155,F,27,US,63
156,F,44,US,18
157,,53,US,28
158,M,39,US,3
159,M,27,US,7
160,F,34,US,15
161,M,52,US,17
162,F,35,US,4
163,M,29,US,4
164,,52,CA,16
165,F,48,US,4
166,F,50,US,2
167,M,24,US,26
168,,26,US,28
169,,54,US,1
170,,44,US,9
171,M,54,US,27
172,M,37,US,37
173,,33,US,1
174,F,34,US,23
175,F,51,US,4
176,,47,CA,12
177,F,53,US,4
178,,36,US,1
179,F,32,US,3
180,,26,US,4
181,,22,US,2
182,F,52,US,23
183,,52,US,18
184,F,27,US,6
185,,51,US,1
186,,42,CA,2
187,F,30,US,3
188,F,29,US,19
189,F,30,US,13
190,,43,US,12
191,,26,US,19
192,F,37,US,8
193,,49,US,4
194,F,44,US,19
195,,34,CA,1
196,,41,US,4
197,M,38,US,1
198,F,31,US,3
199,M,46,US,6
200,,37,US,16
201,,30,US,3
202,,53,US,30
203,M,43,US,3
204,,46,US,9
205,F,53,US,5
206,F,47,US,12
